timestamp_ms,targetRad,actualRad
2,0.000000,0.007672
23,0.000000,0.007672
44,0.000000,0.007672
67,0.000000,0.007672
87,0.000000,0.007672
109,0.000000,0.007672
129,0.000000,0.007672
150,0.000000,0.007672
172,0.000000,0.007672
193,0.000000,0.007672
213,0.000000,0.007672
234,0.000000,0.007672
256,0.000000,0.007672
277,0.000000,0.007672
298,0.000000,0.007672
319,0.000000,0.007672
341,0.000000,0.007672
361,0.000000,0.007672
382,0.000000,0.007672
403,0.000000,0.007672
425,0.000000,0.007672
446,0.000000,0.007672
468,0.000000,0.007672
489,0.000000,0.007672
510,0.000000,0.007672
533,-1.571180,0.007672
554,-1.571180,0.007672
576,-1.571180,0.007672
597,-1.571180,0.004603
618,-1.571180,-0.023015
639,-1.571180,-0.079786
660,-1.571180,-0.167245
681,-1.571180,-0.283856
702,-1.571180,-0.418879
724,-1.571180,-0.578452
745,-1.571180,-0.761040
766,-1.571180,-0.955903
788,-1.571180,-1.281187
809,-1.571180,-1.387057
830,-1.571180,-1.465309
851,-1.571180,-1.515943
873,-1.571180,-1.554302
894,-1.571180,-1.577317
914,-1.571180,-1.578852
935,-1.571180,-1.569646
956,-1.571180,-1.565042
978,-1.571180,-1.565042
999,-1.571180,-1.565042
1020,-1.571180,-1.565042
1041,-1.571180,-1.565042
