timestamp,target_rad,position_rad,error_rad,speed_rad_s
1780085388.053067,-1.5704127379483044,-0.30150083342143796,-1.2689119045268664,0.0
1780085388.055223,-1.5704127379483044,-0.30150083342143796,-1.2689119045268664,0.0
1780085388.057133,-1.5704127379483044,-0.30150083342143796,-1.2689119045268664,0.0
1780085388.059207,-1.5704127379483044,-0.30150083342143796,-1.2689119045268664,0.0
1780085388.061218,-1.5704127379483044,-0.30150083342143796,-1.2689119045268664,0.0
1780085388.06321,-1.5704127379483044,-0.30150083342143796,-1.2689119045268664,0.0
1780085388.065162,-1.5704127379483044,-0.30150083342143796,-1.2689119045268664,0.0
1780085388.067203,-1.5704127379483044,-0.30150083342143796,-1.2689119045268664,0.0
1780085388.0692108,-1.5704127379483044,-0.30150083342143796,-1.2689119045268664,0.0
1780085388.071132,-1.5704127379483044,-0.30150083342143796,-1.2689119045268664,0.0
1780085388.073212,-1.5704127379483044,-0.30150083342143796,-1.2689119045268664,0.0
1780085388.075197,-1.5704127379483044,-0.30150083342143796,-1.2689119045268664,0.0
1780085388.077217,-1.5704127379483044,-0.30150083342143796,-1.2689119045268664,0.0
1780085388.079207,-1.5704127379483044,-0.30150083342143796,-1.2689119045268664,0.0
1780085388.081219,-1.5704127379483044,-0.30150083342143796,-1.2689119045268664,0.0
1780085388.083198,-1.5704127379483044,-0.30150083342143796,-1.2689119045268664,0.0
1780085388.08522,-1.5704127379483044,-0.30303518880780667,-1.2673775491404977,-0.07671776931843206
1780085388.0872178,-1.5704127379483044,-0.30456954419417537,-1.265843193754129,-0.07671776931843206
1780085388.089185,-1.5704127379483044,-0.30610389958054407,-1.2643088383677603,-0.07671776931843206
1780085388.091212,-1.5704127379483044,-0.30763825496691233,-1.262774482981392,-0.07671776931843206
1780085388.093212,-1.5704127379483044,-0.31070696573964973,-1.2597057722086547,-0.07671776931843206
1780085388.095215,-1.5704127379483044,-0.31224132112601843,-1.258171416822286,-0.07671776931843206
1780085388.0972002,-1.5704127379483044,-0.31531003189875584,-1.2551027060495485,-0.07671776931843206
1780085388.099222,-1.5704127379483044,-0.3183787426714928,-1.2520339952768116,-0.07671776931843206
1780085388.1011992,-1.5704127379483044,-0.3214474534442302,-1.2489652845040742,-0.07671776931843206
1780085388.10322,-1.5704127379483044,-0.3260505196033363,-1.244362218344968,-0.07671776931843206
1780085388.105213,-1.5704127379483044,-0.33065358576244197,-1.2397591521858624,-1.227484309094913
1780085388.107185,-1.5704127379483044,-0.3337222965351794,-1.236690441413125,-1.227484309094913
1780085388.109184,-1.5704127379483044,-0.33832536269428504,-1.2320873752540193,-1.227484309094913
1780085388.111229,-1.5704127379483044,-0.34292842885339114,-1.2274843090949132,-1.227484309094913
1780085388.113214,-1.5704127379483044,-0.34753149501249725,-1.2228812429358071,-1.227484309094913
1780085388.1151948,-1.5704127379483044,-0.35366891655797206,-1.2167438213903323,-1.227484309094913
1780085388.117195,-1.5704127379483044,-0.3582719827170777,-1.2121407552312267,-1.227484309094913
1780085388.11922,-1.5704127379483044,-0.3674781150352895,-1.202934622913015,-1.227484309094913
1780085388.1211362,-1.5704127379483044,-0.3705468258080269,-1.1998659121402775,-1.227484309094913
1780085388.123212,-1.5704127379483044,-0.37975295812623866,-1.1906597798220657,-2.6084041568266905
1780085388.125217,-1.5704127379483044,-0.38742473505808217,-1.1829880028902222,-2.6084041568266905
1780085388.127195,-1.5704127379483044,-0.39356215660355653,-1.1768505813447478,-2.6084041568266905
1780085388.129216,-1.5704127379483044,-0.4012339335353996,-1.1691788044129048,-2.6084041568266905
1780085388.131199,-1.5704127379483044,-0.4073713550808744,-1.16304138286743,-2.6084041568266905
1780085388.1332,-1.5704127379483044,-0.4150431320127175,-1.155369605935587,-2.6084041568266905
1780085388.13521,-1.5704127379483044,-0.42271490894456054,-1.1476978290037438,-2.6084041568266905
1780085388.137205,-1.5704127379483044,-0.4319210412627723,-1.138491696685532,-2.6084041568266905
1780085388.13921,-1.5704127379483044,-0.4395928181946154,-1.130819919753689,-2.6084041568266905
1780085388.1411872,-1.5704127379483044,-0.4487989505128276,-1.1216137874354768,-2.6084041568266905
1780085388.143192,-1.5704127379483044,-0.4564707274446711,-1.1139420105036333,-3.8358884659216033
1780085388.145198,-1.5704127379483044,-0.46567685976288287,-1.1047358781854215,-3.8358884659216033
1780085388.1471958,-1.5704127379483044,-0.47488299208109463,-1.0955297458672097,-3.8358884659216033
1780085388.149197,-1.5704127379483044,-0.4840891243993064,-1.086323613548998,-3.8358884659216033
1780085388.15122,-1.5704127379483044,-0.49329525671751817,-1.0771174812307862,-3.8358884659216033
1780085388.1532018,-1.5704127379483044,-0.5040357444220986,-1.0663769935262057,-3.8358884659216033
1780085388.155143,-1.5704127379483044,-0.5132418767403104,-1.057170861207994,-3.8358884659216033
1780085388.157214,-1.5704127379483044,-0.5239823644448909,-1.0464303735034135,-3.8358884659216033
1780085388.159188,-1.5704127379483044,-0.5347228521494714,-1.035689885798833,-3.8358884659216033
1780085388.161221,-1.5704127379483044,-0.5454633398540523,-1.0249493980942521,-3.8358884659216033
1780085388.163198,-1.5704127379483044,-0.5577381829450014,-1.012674555003303,-5.063372775016516
1780085388.165211,-1.5704127379483044,-0.5684786706495815,-1.001934067298723,-5.063372775016516
1780085388.1671932,-1.5704127379483044,-0.5807535137405306,-0.9896592242077737,-5.063372775016516
1780085388.169214,-1.5704127379483044,-0.5914940014451111,-0.9789187365031933,-5.063372775016516
1780085388.171215,-1.5704127379483044,-0.6037688445360603,-0.9666438934122441,-5.063372775016516
1780085388.1732,-1.5704127379483044,-0.6160436876270095,-0.9543690503212949,-5.063372775016516
1780085388.175225,-1.5704127379483044,-0.6283185307179586,-0.9420942072303458,-5.063372775016516
1780085388.177197,-1.5704127379483044,-0.6421277291952765,-0.9282850087530279,-5.063372775016516
1780085388.179221,-1.5704127379483044,-0.6544025722862257,-0.9160101656620787,-5.063372775016516
1780085388.181189,-1.5704127379483044,-0.6666774153771748,-0.9037353225711295,-5.063372775016516
1780085388.18321,-1.5704127379483044,-0.6804866138544923,-0.8899261240938121,-6.137421545474566
1780085388.1852102,-1.5704127379483044,-0.6942958123318101,-0.8761169256164942,-6.137421545474566
1780085388.187215,-1.5704127379483044,-0.7096393661954967,-0.8607733717528077,-6.137421545474566
1780085388.1892102,-1.5704127379483044,-0.7249829200591829,-0.8454298178891215,-6.137421545474566
1780085388.191209,-1.5704127379483044,-0.7387921185365012,-0.8316206194118032,-6.137421545474566
1780085388.193194,-1.5704127379483044,-0.7541356724001873,-0.8162770655481171,-6.137421545474566
1780085388.1952121,-1.5704127379483044,-0.7694792262638739,-0.8009335116844305,-6.137421545474566
1780085388.197216,-1.5704127379483044,-0.7863571355139287,-0.7840556024343757,-6.137421545474566
1780085388.1991942,-1.5704127379483044,-0.8017006893776149,-0.7687120485706895,-6.137421545474566
1780085388.201195,-1.5704127379483044,-0.8170442432413014,-0.753368494707003,-6.137421545474566
1780085388.203213,-1.5704127379483044,-0.8339221524913563,-0.7364905854569481,-7.6717769318432065
1780085388.2052,-1.5704127379483044,-0.8508000617414115,-0.7196126762068928,-7.6717769318432065
1780085388.2071989,-1.5704127379483044,-0.8676779709914668,-0.7027347669568376,-7.6717769318432065
1780085388.209186,-1.5704127379483044,-0.8845558802415217,-0.6858568577067827,-7.6717769318432065
1780085388.211182,-1.5704127379483044,-0.9014337894915769,-0.6689789484567275,-7.6717769318432065
1780085388.21321,-1.5704127379483044,-0.9198460541280005,-0.6505666838203039,-7.6717769318432065
1780085388.215188,-1.5704127379483044,-0.9367239633780557,-0.6336887745702486,-7.6717769318432065
1780085388.2171788,-1.5704127379483044,-0.9536018726281106,-0.6168108653201938,-7.6717769318432065
1780085388.2192152,-1.5704127379483044,-0.9720141372645341,-0.5983986006837703,-7.6717769318432065
1780085388.221209,-1.5704127379483044,-0.9888920465145894,-0.581520691433715,-7.6717769318432065
1780085388.2231832,-1.5704127379483044,-1.007304311151013,-0.5631084267972915,-8.669107932982824
1780085388.225219,-1.5704127379483044,-1.0241822204010678,-0.5462305175472366,-8.669107932982824
1780085388.227204,-1.5704127379483044,-1.0410601296511235,-0.5293526082971809,-8.669107932982824
1780085388.229215,-1.5704127379483044,-1.059472394287547,-0.5109403436607574,-8.669107932982824
1780085388.231213,-1.5704127379483044,-1.0763503035376019,-0.4940624344107025,-8.669107932982824
1780085388.233203,-1.5704127379483044,-1.0932282127876567,-0.4771845251606477,-8.669107932982824
1780085388.235204,-1.5704127379483044,-1.110106122037712,-0.4603066159105924,-8.669107932982824
1780085388.2372181,-1.5704127379483044,-1.1269840312877668,-0.4434287066605376,-8.669107932982824
1780085388.2392051,-1.5704127379483044,-1.1438619405378223,-0.4265507974104821,-8.669107932982824
1780085388.241209,-1.5704127379483044,-1.1592054944015087,-0.4112072435467957,-8.669107932982824
1780085388.243192,-1.5704127379483044,-1.174549048265195,-0.39586368968310937,-8.362236855709096
1780085388.2452118,-1.5704127379483044,-1.1898926021288814,-0.380520135819423,-8.362236855709096
1780085388.247231,-1.5704127379483044,-1.203701800606199,-0.36671093734210536,-8.362236855709096
1780085388.249203,-1.5704127379483044,-1.2190453544698854,-0.351367383478419,-8.362236855709096
1780085388.251199,-1.5704127379483044,-1.2328545529472035,-0.3375581850011009,-8.362236855709096
1780085388.253209,-1.5704127379483044,-1.2466637514245211,-0.32374898652378326,-8.362236855709096
1780085388.2552161,-1.5704127379483044,-1.260472949901839,-0.3099397880464654,-8.362236855709096
1780085388.257209,-1.5704127379483044,-1.272747792992788,-0.29766494495551643,-8.362236855709096
1780085388.259197,-1.5704127379483044,-1.2850226360837371,-0.28539010186456726,-8.362236855709096
1780085388.261203,-1.5704127379483044,-1.2988318345610548,-0.2715809033872496,-8.362236855709096
1780085388.263202,-1.5704127379483044,-1.311106677652004,-0.25930606029630043,-6.827881469340454
1780085388.265228,-1.5704127379483044,-1.323381520742953,-0.24703121720535148,-6.827881469340454
1780085388.267186,-1.5704127379483044,-1.3341220084475338,-0.23629072950077057,-6.827881469340454
1780085388.2692008,-1.5704127379483044,-1.3463968515384828,-0.22401588640982162,-6.827881469340454
1780085388.271206,-1.5704127379483044,-1.3571373392430632,-0.21327539870524115,-6.827881469340454
1780085388.273222,-1.5704127379483044,-1.3663434715612752,-0.20406926638702916,-6.827881469340454
1780085388.2751842,-1.5704127379483044,-1.3770839592658555,-0.1933287786824489,-6.827881469340454
1780085388.277208,-1.5704127379483044,-1.3862900915840675,-0.18412264636423692,-6.827881469340454
1780085388.2791958,-1.5704127379483044,-1.3954962239022792,-0.17491651404602515,-6.827881469340454
1780085388.281214,-1.5704127379483044,-1.404702356220491,-0.16571038172781338,-6.827881469340454
1780085388.2831879,-1.5704127379483044,-1.4139084885387028,-0.15650424940960161,-5.1400905443349485
1780085388.285198,-1.5704127379483044,-1.4231146208569148,-0.14729811709138962,-5.1400905443349485
1780085388.287201,-1.5704127379483044,-1.4307863977887583,-0.13962634015954611,-5.1400905443349485
